id,name,description,color,layer,connections_count
"decolonial","Pensamento Decolonial","Crítica à colonialidade do saber e do poder","#8b5cf6",-1,3
"ubuntu","Ubuntu","Filosofia africana: ""Eu sou porque nós somos""","#8b5cf6",-1,3
"cosmotecnica","Cosmotécnica","Técnicas enraizadas em cosmologias locais (Yuk Hui)","#8b5cf6",-1,3
"guaiamum","Guaiamum Lateral","Movimento diagonal, não-linear, caranguejo","#10b981",0,3
"backfeed","Backfeed","Retorno do futuro para o presente (antecipação)","#10b981",0,4
"opacidade","Opacidade Estratégica","Resistir via não-transparência (Édouard Glissant)","#10b981",0,3
"honeypots","Honeypots","Armadilhas para capturar bots invasores","#10b981",0,3
"ironia-politica","Ironia Política","Crítica através da performance contraditória","#10b981",0,3
"grafo-conceitos","Grafo de Conceitos","Estrutura de dados que representa o rizoma","#6366f1",1,3
"websocket","WebSocket","Comunicação bidirecional em tempo real","#6366f1",1,3
"meta-observacao","Meta-Observação","Observar o ato de observar (segunda ordem)","#10b981",0,3
"canvas-background","Canvas Background","Sistema de arte generativa que performa a filosofia","#10b981",0,3
"caos","Caos Criativo","Desordem produtiva, não-entrópica","#10b981",0,3
"trabalho-invisivel","Trabalho Invisível","Trabalho técnico desvalorizado e não-reconhecido","#ec4899",0,4
"divisao-sexual-trabalho","Divisão Sexual do Trabalho","Segregação de gênero no trabalho digital","#ec4899",0,3
"moderacao-conteudo","Moderação de Conteúdo","Trabalho traumático invisibilizado nas plataformas","#ef4444",0,3
"necropolitica-digital","Necropolítica Digital","Algoritmos que decidem quem vive e quem morre (Mbembe)","#dc2626",0,5
"gabinete-odio","Gabinete do Ódio","Feedback positivo amplificando genocídio via algoritmos","#dc2626",0,3
"viralizacao","Viralização","Feedback positivo social (engajamento exponencial)","#f97316",0,3
"gamificacao","Gamificação","Mecânicas de jogo aplicadas para maximizar engajamento","#f97316",0,3
"cybersyn","Proyecto Cybersyn","Cibernética socialista no Chile de Allende (1971-73)","#22c55e",-1,4
"planejamento-participativo","Planejamento Participativo","Cibernética como ferramenta democrática, não tecnocrática","#22c55e",0,3
"democracia-algoritmicica","Democracia Algorítmica","Limites e possibilidades de tecnologia na democracia","#7c3aed",0,3
"determinismo-tecnologico","Determinismo Tecnológico","Crença falsa de que tecnologia resolve tudo","#7c3aed",0,3
"homeostase","Homeostase","Equilíbrio dinâmico via feedback negativo","#10b981",0,3
"digitalizacao","Digitalização","Conversão de tudo em bits - base da mercantilização digital","#8b5cf6",0,4
"extrativismo","Extrativismo Digital","Mineração de dados + mineração literal (terras raras)","#22c55e",0,4
"geopolitica","Geopolítica Digital","Guerra das redes, soberania tecnológica, BRICS vs OTAN","#dc2626",0,4
"internet","Internet","ARPANET militar → www civil (mas vigilância permanece)","#6366f1",0,3
