source,target
"cybersyn","cibernetica"
"cybersyn","wiener"
"cybersyn","planejamento-participativo"
"planejamento-participativo","democracia-algoritmicica"
"planejamento-participativo","resistencia"
"determinismo-tecnologico","problema-parada"
"determinismo-tecnologico","fetichismo-digital"
"homeostase","cybersyn"
"homeostase","autopoiese"
"digitalizacao","teoria-informacao"
"digitalizacao","mais-valia-dados"
"digitalizacao","fetichismo-digital"
"extrativismo","mais-valia-dados"
"geopolitica","vigilancia"
"geopolitica","internet"
"internet","capitalismo-vigilancia"
